symbol,exchange,name
049720,KRX,고려신용정보
049800,KRX,우진플라임
049830,KRX,승일
049950,KRX,미래컴퍼니
049960,KRX,쎌바이오텍
050090,KRX,비케이홀딩스
050110,KRX,캠시스
050120,KRX,ES큐브
050760,KRX,에스폴리텍
050860,KRX,아세아텍
050890,KRX,쏠리드
050960,KRX,수산아이앤티
051160,KRX,지어소프트
051360,KRX,토비스
051370,KRX,인터플렉스
051380,KRX,피씨디렉트
051390,KRX,YW
051490,KRX,나라엠앤디
051500,KRX,CJ프레시웨이
051600,KRX,한전KPS
051630,KRX,진양화학
051780,KRX,큐로홀딩스
051900,KRX,LG생활건강
051905,KRX,LG생활건강우
051910,KRX,LG화학
051915,KRX,LG화학우
051980,KRX,중앙첨단소재
052020,KRX,에스티큐브
052220,KRX,iMBC
052260,KRX,현대바이오랜드
052300,KRX,오션인더블유
052330,KRX,코텍
052400,KRX,코나아이
052420,KRX,오성첨단소재
052460,KRX,아이크래프트
052600,KRX,한네트
052670,KRX,제일바이오
052690,KRX,한전기술
052710,KRX,아모텍
052770,KRX,아이톡시
052790,KRX,액토즈소프트
052860,KRX,아이앤씨
052900,KRX,KX하이텍
052960,KRX,태양3C
053030,KRX,바이넥스
053050,KRX,지에스이
053060,KRX,세동
053080,KRX,케이엔솔
053160,KRX,프리엠스
053210,KRX,스카이라이프
053260,KRX,금강철강
